O_{index}(m_3)	            z_0	          v_x	       v_y	          v_z	        T           stability
O_{89}(0.3)	6.81695141303940E-02	1.98197720120425E-01	3.16008811344975E-03	2.60239851595261E-03	1.90593615958360E+02	   U
O_{90}(0.3)	8.83010117139224E-01	9.24672256139079E-03	1.66921379977518E-01	-1.90264319490594E-03	1.91093173844390E+02	   S
O_{91}(0.3)	8.02281827089301E-02	1.98622157250105E-01	3.21203723394600E-03	4.95297991072908E-03	1.91256677576154E+02	   S
O_{92}(0.3)	4.72217956347881E-02	2.01252196473172E-01	2.98512102508443E-03	-2.13522509383628E-03	1.93726473154084E+02	   S
O_{93}(0.3)	1.11380016739226E-01	1.97330052590701E-01	2.71579705738669E-03	1.11882203626370E-02	1.95955322288561E+02	   S
O_{94}(0.3)	5.73065205798976E-02	1.97126653439047E-01	4.19937032185295E-03	1.19045000699843E-03	1.96525305271112E+02	   S
O_{95}(0.3)	4.30995454666426E-02	1.99870135339239E-01	4.43769464877190E-03	-1.85259475545250E-03	1.97652484851066E+02	   S
O_{96}(0.3)	9.34835001153078E-01	1.36925017047163E-02	1.62368066748620E-01	5.36108665823768E-03	1.99089721031636E+02	   U
O_{1}(0.4)	5.57537961142638E-01	1.69728519581542E-01	3.64914096016043E-02	1.24809103366832E-03	1.06041869353466E+01	   U
O_{2}(0.4)	-3.78811991801874E-01	2.40305291133458E-01	3.68409238307901E-02	-9.36409274697237E-02	1.27323323022587E+01	   S
O_{3}(0.4)	2.18984620984225E-01	2.02594876040245E-01	3.74092178630288E-02	2.72420706201638E-02	1.36135978769104E+01	   U
O_{4}(0.4)	1.25865776830203E-01	2.62037082700032E-01	9.65177306885552E-02	3.69135250284306E-03	1.48399646971997E+01	   U
O_{5}(0.4)	4.62104690120900E-02	2.70529775107829E-01	9.21361054936662E-02	-2.78974325168178E-03	1.53033315559281E+01	   U
O_{6}(0.4)	5.92109741766522E-02	2.78123271212345E-01	8.33499018620788E-02	-1.55221649981980E-02	1.57846251449617E+01	   U
O_{7}(0.4)	-1.31559927606298E-01	2.33436689762590E-01	-1.68857125959221E-02	-3.08096653181149E-02	1.68583647763455E+01	   S
O_{8}(0.4)	5.02628115424852E-01	1.81804428618638E-01	6.20186118437433E-02	2.72852519743945E-03	1.70146121013695E+01	   U
O_{9}(0.4)	2.25881367755914E-01	2.63453940872842E-01	2.76528775995900E-02	8.03205496111750E-02	1.79650667648494E+01	   S
O_{10}(0.4)	-2.35369254416287E-01	2.20864909218656E-01	3.08977413538519E-02	-4.66465056478072E-02	1.83002419744855E+01	   S
O_{11}(0.4)	4.05903456623495E-02	1.73164488138382E-01	2.14405560195815E-02	6.72326459635984E-03	1.95005888026310E+01	   U
O_{12}(0.4)	4.80932130111944E-01	1.84734502997879E-01	1.65997089095362E-01	6.64417589349517E-03	1.96541331807682E+01	   U
O_{13}(0.4)	8.22388277382226E-02	2.32755515124579E-01	1.07890387509697E-02	1.91654590160823E-02	2.03630496650229E+01	   S
O_{14}(0.4)	-2.95406705434334E-01	2.43515616820850E-01	-2.80320071546279E-02	-6.75014569669143E-02	2.06599900868913E+01	   S
O_{15}(0.4)	4.07398122900470E-01	1.10466579117570E-01	5.53313424352491E-02	-6.93623440114093E-04	2.26807570472913E+01	   U
O_{16}(0.4)	7.30211294922233E-01	1.32768371786481E-01	6.50939553295505E-02	3.18666932813999E-03	2.58213636433978E+01	   U
O_{17}(0.4)	4.20268418944585E-02	1.29923314206074E-01	2.54510319899347E-01	1.22025204506604E-03	3.23060457268962E+01	   U
O_{18}(0.4)	8.46467365458491E-01	4.70555468208856E-02	1.99482764081413E-01	1.89563560286376E-03	3.97940684851091E+01	   U
O_{19}(0.4)	9.05516903681364E-01	7.64132747070963E-03	2.16225586675717E-01	6.44440593005735E-03	4.14962403210549E+01	   S
O_{20}(0.4)	8.50957514471609E-01	1.59932044967396E-01	1.49794222249649E-01	-1.58340329924622E-03	5.18109120038930E+01	   U
